category,BUGS,SMELLS,VULNERABILITY,TOTAL,CRITICAL,MAJOR,MINOR,BLOCKER,NCLOC,TOTAL2,BUGS_mdn,SMELLS_mdn,VULNERABILITY_mdn,CRITICAL_mdn,MAJOR_mdn,MINOR_mdn,BLOCKER_mdn,NCLOC_mdn,,BUGS_std,SMELLS_std,VULNERABILITY_std,CRITICAL_std,MAJOR_std,MINOR_std,BLOCKER_std,NCLOC_std,,BUGS,SMELLS,VULNERABILITY,,COMBINE,CRITICAL,MAJOR,MINOR,BLOCKER,,COMBINE2
Assembly,5.80E-06,2.09E-05,0,2.67E-05,1.18E-05,7.98E-06,3.79E-06,3.16E-06,218031.6316,2.67E-05,1.96E-06,2.30E-05,0,8.50E-06,6.42E-06,2.51E-06,1.72E-06,68394.5,,5.512839375,10.35781261,0,24.08374977,5.840824349,1.32513025,1.012106402,0,,21.68,78.32,0,,Assembly&21.68(5.51)&78.32(10.36)\\ %hline,44.13,29.85,14.18,11.83,,Assembly&44.13(24.1)&29.85(5.8)&14.18(1.3)&11.83(1) \\ %hline
Experimentation,6.97E-06,1.97E-05,0,2.66E-05,3.41E-06,1.02E-05,7.62E-06,5.36E-06,529175.3048,2.66E-05,2.67E-06,1.69E-05,0,2.03E-06,5.64E-06,4.81E-06,2.07E-06,132107,,6.005945911,6.19697391,0,12.3904409,5.453962436,1.214609943,2.143093349,0,,26.19,73.81,0,,Experimentation&26.19(6.01)&73.81(6.2)\\ %hline,12.82,38.41,28.63,20.14,,Experimentation&12.82(12.4)&38.41(5.5)&28.63(1.2)&20.14(2.1) \\ %hline
Cryptography,5.19E-07,3.75E-05,0,3.81E-05,1.02E-05,2.47E-05,3.05E-06,1.49E-07,609890.25,3.81E-05,6.58E-07,7.24E-06,0,1.97E-06,3.99E-06,1.80E-06,1.08E-07,591800.5,,3.012287952,9.12276386,0,16.30363419,7.955210263,1.556032671,2.191091626,0,,1.36,98.64,0,,Cryptography&1.36(3.01)&98.64(9.12)\\ %hline,26.7,64.89,8.01,0.39,,Cryptography&26.7(16.3)&64.89(8)&8.01(1.6)&0.39(2.2) \\ %hline
Compiler,7.60E-07,4.11E-05,0,4.18E-05,3.38E-05,6.57E-06,9.36E-07,5.04E-07,8494570.857,4.18E-05,7.36E-07,4.00E-05,0,2.71E-05,8.95E-06,1.13E-06,3.90E-07,106804,,2.353431626,9.771847367,0,31.01119192,5.006130857,1.518710288,7.113317038,0,,1.82,98.18,0,,Compiler&1.82(2.35)&98.18(9.77)\\ %hline,80.84,15.72,2.24,1.2,,Compiler&80.84(31)&15.72(5)&2.24(1.5)&1.2(7.1) \\ %hline
Fun/ Game,1.72E-06,3.27E-05,7.44E-11,3.44E-05,2.40E-05,7.38E-06,1.34E-06,1.71E-06,106191225,3.44E-05,2.35E-08,1.46E-05,0,6.57E-06,4.19E-06,3.32E-07,2.78E-09,107669,,3.030421905,9.686185917,0,66.59703902,7.373296132,1.183710136,3.776440905,0,,5.01,94.99,0,,Fun/ Game&5.01(3.03)&94.99(9.69)\\ %hline,69.67,21.47,3.89,4.97,,Fun/ Game&69.67(66.6)&21.47(7.4)&3.89(1.2)&4.97(3.8) \\ %hline
None-Quantum,6.49E-06,2.62E-05,1.75E-07,3.27E-05,1.16E-05,1.48E-05,3.50E-06,2.91E-06,3195476.833,3.28E-05,1.59E-06,2.34E-05,0,9.39E-06,8.28E-06,1.87E-06,2.78E-07,33302.5,,5.349894603,8.566730745,7.470506818,13.36844534,5.92161366,1.614334853,3.886735194,0,,19.87,80.13,0.54,,None-Quantum&19.87(5.35)&80.13(8.57)\\ %hline,35.44,45.03,10.66,8.86,,None-Quantum&35.44(13.4)&45.03(5.9)&10.66(1.6)&8.86(3.9) \\ %hline
Simulator,3.08E-06,5.14E-05,0,5.45E-05,1.70E-05,2.85E-05,7.89E-06,1.11E-06,582575.0569,5.45E-05,5.10E-07,3.32E-05,0,5.36E-06,1.34E-05,4.01E-06,0,7032,,4.63774346,5.627128477,0,15.74748488,4.246792006,1.35230387,1.745994007,0,,5.66,94.34,0,,Simulator&5.66(4.64)&94.34(5.63)\\ %hline,31.12,52.38,14.48,2.03,,Simulator&31.12(15.7)&52.38(4.2)&14.48(1.4)&2.03(1.7) \\ %hline
Full-stack Library,3.68E-06,4.03E-05,2.33E-09,4.39E-05,2.33E-05,1.38E-05,3.77E-06,3.12E-06,4007657.234,4.39E-05,6.85E-07,2.51E-05,0,1.50E-05,7.11E-06,2.53E-06,4.25E-07,32979.5,,3.764643358,18.91216972,0,37.02007884,5.297521731,1.506623058,0.863123955,0,,8.37,91.63,0.01,,Full-stack Library&8.37(3.76)&91.63(18.91)\\ %hline,52.95,31.36,8.58,7.11,,Full-stack Library&52.95(37)&31.36(5.3)&8.58(1.5)&7.11(0.9) \\ %hline
Quantum Algorithsm,7.36E-06,5.26E-05,0,5.99E-05,8.26E-06,4.02E-05,4.57E-06,6.97E-06,127318.3083,5.99E-05,9.54E-07,3.08E-05,0,4.36E-06,1.06E-05,3.02E-06,6.21E-07,59814.5,,5.606581739,10.01182242,0,20.27220888,5.492759408,1.36148189,2.235003792,0,,12.27,87.73,0,,Quantum Algorithsm&12.27(5.61)&87.73(10.01)\\ %hline,13.77,66.98,7.62,11.63,,Quantum Algorithsm&13.77(20.3)&66.98(5.5)&7.62(1.4)&11.63(2.2) \\ %hline
Quantum-Chemistry,1.87E-06,3.91E-05,3.41E-09,4.10E-05,1.52E-05,1.73E-05,6.73E-06,1.79E-06,284996.4574,4.10E-05,4.31E-07,2.57E-05,0,9.07E-06,8.82E-06,2.98E-06,3.28E-07,34275,,5.862204829,25.41318648,21.503301,58.83388838,5.65563693,1.209706944,3.49143985,0,,4.56,95.44,0.01,,Quantum-Chemistry&4.56(5.86)&95.44(25.41)\\ %hline,37.03,42.19,16.42,4.36,,Quantum-Chemistry&37.03(58.8)&42.19(5.7)&16.42(1.2)&4.36(3.5) \\ %hline
Quantum Annealing,1.87E-05,4.22E-05,0,6.08E-05,1.45E-05,2.48E-05,1.13E-05,1.02E-05,47773.7619,6.08E-05,1.49E-05,3.40E-05,0,7.93E-06,2.50E-05,7.74E-06,9.04E-07,5624,,5.394721132,5.210888515,0,8.50511788,5.918992531,1.400507618,2.05202748,0,,30.66,69.34,0,,Quantum Annealing&30.66(5.39)&69.34(5.21)\\ %hline,23.9,40.84,18.51,16.74,,Quantum Annealing&23.9(8.5)&40.84(5.9)&18.51(1.4)&16.74(2.1) \\ %hline
ToolKit,9.38E-06,2.89E-05,0,3.83E-05,1.30E-05,1.08E-05,5.51E-06,8.98E-06,414084.9227,3.83E-05,1.67E-06,2.22E-05,0,4.78E-06,7.61E-06,3.74E-06,9.21E-07,56927,,6.8237385,16.87193173,0,39.68013163,6.391910089,1.428955092,2.463129289,0,,24.47,75.53,0,,ToolKit&24.47(6.82)&75.53(16.87)\\ %hline,33.91,28.29,14.37,23.43,,ToolKit&33.91(39.7)&28.29(6.4)&14.37(1.4)&23.43(2.5) \\ %hline
,,,,,,,,,,,,,,,,,,,,4.78,11.31,2.41,28.65,5.88,1.39,2.75,0,#DIV/0!,13.49,86.51,0.05,,&13.49(4.78)&86.51(11.31)\\ %hline,38.52,39.78,12.3,9.39,,&38.52(28.7)&39.78(5.9)&12.3(1.4)&9.39(2.8) \\ %hline