rule(severity),ToolKit,Assembly,Fun/ Game,Full-stack Library,None-Quantum,Quantum-Chemistry,Compiler,Simulator,Quantum Algorithsm,Quantum Annealing,Cryptography,Experimentation,tag,message,ToolKit,Assembly,Fun/ Game,Full-stack Library,None-Quantum,Quantum-Chemistry,Compiler,Simulator,Quantum Algorithsm,Quantum Annealing,Cryptography,Experimentation,MEDIAN
BoldAndItalicTagsCheck(MINOR//),3.56E-08,1.96E-07,8.90E-07,9.18E-08,3.42E-08,8.20E-09,8.77E-09,3.47E-08,4.14E-08,5.32E-08,8.69E-10,5.39E-08,/accessibility/,Replace this <i> tag by <em>.; /,0.84,3.27,2.08,2.64,1.07,0.2,0.34,0.81,0.99,0.91,0.02,0.47,0.875
S1481(MINOR//),3.38E-07,4.55E-07,4.32E-07,2.05E-07,1.71E-07,2.27E-07,1.67E-07,3.52E-07,2.81E-07,7.36E-07,7.04E-08,2.27E-07,unused//,"Remove this unused ""$key"" local variable.; /Remove the unused local variable ""qflex_amplitude"".; /Remove the declaration of the unused 'origword' variable.; /",7.98,7.59,1.01,5.89,5.34,5.56,6.46,8.25,6.72,12.65,1.77,1.99,6.175
S3516(BLOCKER//),1.48E-09,2.43E-09,0,4.28E-10,7.06E-09,5.84E-10,7.67E-09,1.41E-10,1.16E-09,4.72E-08,2.90E-10,2.33E-09,/xxxxx/,Refactor this method to not always return the same value.; /Refactor this function to not always return the same value.; /,0.04,0.04,0,0.01,0.22,0.01,0.3,0,0.03,0.81,0.01,0.02,0.025
S3776(CRITICAL//),1.89E-07,5.18E-07,4.46E-07,2.24E-07,1.67E-07,3.53E-07,5.64E-07,8.34E-08,3.49E-07,2.98E-07,3.54E-07,2.26E-07,/brain_overload/,Refactor this method to reduce its Cognitive Complexity from 29 to the 15 allowed.; /Refactor this function to reduce its Cognitive Complexity from 20 to the 15 allowed.; /Refactor this function to reduce its Cognitive Complexity from 151 to the 15 allowed.; /Refactor this method to reduce its Cognitive Complexity from 20 to the 15 allowed.; /,4.48,8.64,1.04,6.43,5.23,8.64,21.88,1.96,8.36,5.13,8.92,1.98,5.83
S5256(MAJOR//),2.14E-08,1.11E-08,0,4.64E-10,5.48E-08,2.34E-09,0,2.73E-08,1.40E-09,0,9.78E-08,1.13E-08,wcag2_a//accessibility/,"Add ""<th>"" headers to this ""<table>"".; /",0.51,0.18,0,0.01,1.71,0.06,0,0.64,0.03,0,2.46,0.1,0.08
TableWithoutCaptionCheck(MINOR//),2.96E-08,1.11E-08,0,4.64E-10,6.69E-08,8.77E-09,0,4.40E-08,1.93E-09,0,9.79E-08,1.20E-08,wcag2_a//accessibility/,Add a description to this table.; /,0.7,0.18,0,0.01,2.09,0.21,0,1.03,0.05,0,2.47,0.11,0.145
S121(CRITICAL//),0,0,0,0,7.69E-09,0,0,0,0,0,0,0,/pitfall/,Add curly braces around the nested statement(s).; /,0,0,0,0,0.24,0,0,0,0,0,0,0,0
S2589(MAJOR//),0,0,4.04E-09,6.61E-10,3.13E-10,0,0,0,0,0,0,0,confusing//duplicate/suspicious/,This always evaluates to truthy. Consider refactoring this code.; /,0,0,0.01,0.02,0.01,0,0,0,0,0,0,0,0
S907(MAJOR//),0,0,0,0,4.48E-09,0,0,0,0,0,0,0,/brain_overload/,"Remove use of ""goto"" statement.; /",0,0,0,0,0.14,0,0,0,0,0,0,0,0
S2711(BLOCKER//),0,0,0,0,2.90E-12,0,1.10E-09,0,0,0,0,1.52E-10,/xxxxx/,"Remove this use of ""return"".; /",0,0,0,0,0,0,0.04,0,0,0,0,0,0
S1134(MAJOR//),2.00E-08,2.92E-07,0,6.77E-09,5.80E-09,1.06E-08,3.42E-10,1.44E-10,5.22E-11,9.98E-09,1.49E-07,2.38E-09,/convention/,"Take the required action to fix the issue indicated by this ""FIXME"" comment.; /",0.47,4.87,0,0.19,0.18,0.26,0.01,0,0,0.17,3.74,0.02,0.175
S125(MAJOR//),2.18E-07,3.99E-07,1.92E-07,6.44E-08,1.07E-07,4.36E-07,4.93E-07,2.08E-07,2.25E-07,2.73E-07,2.40E-08,4.94E-07,unused//,Remove this commented out code.; /,5.15,6.65,0.45,1.85,3.35,10.67,19.12,4.88,5.38,4.69,0.61,4.33,4.785
S1226(MINOR//),3.96E-09,2.43E-09,0,6.51E-09,1.67E-09,8.90E-09,7.67E-09,5.23E-11,6.63E-09,1.33E-09,0,1.22E-08,/xxxxx/,Introduce a new variable or use its initial value before reassigning 'tslot_type'.; /,0.09,0.04,0,0.19,0.05,0.22,0.3,0,0.16,0.02,0,0.11,0.07
S1940(MINOR//),0,0,1.62E-09,5.06E-10,9.19E-10,7.87E-12,0,9.16E-10,0,0,0,0,/pitfall/,Use the opposite operator (>=) instead.; /,0,0,0,0.01,0.03,0,0,0.02,0,0,0,0,0
S1848(MAJOR//),0,0,0,0,0,0,0,0,0,0,0,0,unused//cwe/,"Either remove this useless object instantiation of class ""Message"" or use it; /",0,0,0,0,0,0,0,0,0,0,0,0,0
S1542(MAJOR//),2.54E-07,6.33E-07,2.00E-06,2.20E-07,7.33E-08,3.32E-07,1.08E-07,5.97E-07,1.82E-07,3.84E-07,1.31E-06,6.94E-07,/convention/,"Rename function ""randCirc"" to match the regular expression ^[a-z_][a-z0-9_]{2,}$.; /",6,10.54,4.69,6.32,2.29,8.15,4.17,14.01,4.35,6.59,32.98,6.09,6.205
S1845(BLOCKER//),2.13E-09,1.93E-08,0,2.55E-08,5.07E-09,4.77E-09,0,3.47E-09,7.02E-09,6.03E-09,1.45E-09,2.33E-09,confusing//,"Rename field ""Delta"" to prevent any misunderstanding/clash with field ""delta"" defined on line 111; /",0.05,0.32,0,0.73,0.16,0.12,0,0.08,0.17,0.1,0.04,0.02,0.09
S5724(BLOCKER//),0,0,0,0,2.60E-11,0,0,0,1.13E-10,0,0,1.79E-10,/based_on_misra/cwe/,"Remove 1 parameters; property getter methods receive only ""self"".; /",0,0,0,0,0,0,0,0,0,0,0,0,0
S5727(CRITICAL//),7.32E-10,0,0,1.50E-10,1.72E-09,0,0,0,6.72E-10,1.58E-09,0,3.78E-09,/xxxxx/,Remove this identity check; it will always be True.; /,0.02,0,0,0,0.05,0,0,0,0.02,0.03,0,0.03,0
S2710(CRITICAL//),3.79E-09,0,0,1.42E-09,3.39E-08,1.06E-09,1.27E-08,1.59E-10,0,4.15E-09,0,1.06E-08,confusing//convention/suspicious/,"Rename ""self"" to a valid class parameter name or add the missing class parameter.; /",0.09,0,0,0.04,1.06,0.03,0.49,0,0,0.07,0,0.09,0.035
S108(MAJOR//),1.85E-08,2.96E-08,2.02E-09,2.72E-08,8.27E-08,3.86E-08,1.75E-08,4.59E-09,2.27E-08,2.76E-08,4.35E-09,5.36E-08,/suspicious/,Either remove or fill this block of code.; /Empty block statement.; /,0.44,0.49,0,0.78,2.58,0.95,0.68,0.11,0.54,0.47,0.11,0.47,0.48
S3827(BLOCKER//),6.20E-08,3.90E-07,5.78E-10,3.91E-08,9.69E-08,5.79E-08,2.42E-08,3.44E-08,3.64E-07,3.82E-07,6.37E-09,4.50E-07,/xxxxx/,get_config is not defined. Change its name or define it before using it; /,1.47,6.49,0,1.12,3.03,1.42,0.94,0.81,8.71,6.57,0.16,3.95,1.445
S2737(MINOR//),2.60E-09,0,0,8.01E-09,2.48E-09,1.59E-08,0,3.88E-09,1.59E-09,7.89E-10,0,1.41E-09,/clumsy/error_handling/unused/finding/,Add logic to this catch clause or eliminate it and rethrow the exception automatically.; /Add logic to this except clause or eliminate it and rethrow the exception automatically.; /,0.06,0,0,0.23,0.08,0.39,0,0.09,0.04,0.01,0,0.01,0.025
S5445(BLOCKER//),3.95E-10,0,0,0,1.47E-10,1.04E-11,0,0,0,0,0,2.84E-08,/cwe/owasp/,'tempfile.mktemp' is insecure. Use 'tempfile.TemporaryFile' instead; /,0.01,0,0,0,0,0,0,0,0,0,0,0.25,0
ExecStatementUsage(BLOCKER//),4.11E-10,0,0,2.64E-08,7.05E-10,1.54E-08,0,0,0,0,0,0,python3//obsolete/,Do not use exec statement.; /,0.01,0,0,0.76,0.02,0.38,0,0,0,0,0,0,0
S2703(BLOCKER//),1.32E-09,6.23E-10,4.65E-09,2.61E-09,1.75E-08,4.45E-10,6.77E-09,9.58E-10,0,0,1.45E-09,0,/pitfall/,"Add the ""let"", ""const"" or ""var"" keyword to this declaration of ""i"" to make it explicit.; /",0.03,0.01,0.01,0.07,0.55,0.01,0.26,0.02,0,0,0.04,0,0.015
S930(CRITICAL//BLOCKER//),3.11E-08,2.03E-08,9.82E-10,4.07E-08,1.42E-07,4.98E-09,8.21E-09,1.95E-09,2.85E-08,1.57E-08,7.82E-09,1.29E-07,/based_on_misra/cwe/,"Add 1 missing arguments; 'gen_G' expects 4 positional arguments.; /This function expects no arguments, but 1 was provided.; /",0.73,0.34,0,1.17,4.43,0.12,0.32,0.05,0.68,0.27,0.2,1.13,0.33
S4666(MAJOR//),3.25E-09,0,6.65E-07,1.70E-08,1.22E-08,5.23E-09,0,2.31E-10,1.05E-09,0,0,1.83E-08,/xxxxx/,"Unexpected duplicate selector ""code"", first used at line 207; /",0.08,0,1.56,0.49,0.38,0.13,0,0.01,0.03,0,0,0.16,0.055
S117(MINOR//),7.79E-07,1.60E-06,5.15E-06,4.53E-07,4.39E-07,4.71E-07,5.34E-08,1.56E-06,1.08E-06,1.74E-06,6.95E-07,5.90E-06,/convention/,"Rename this parameter ""File"" to match the regular expression ^[_a-z][a-z0-9_]*$.; /",18.42,26.64,12.05,13.01,13.71,11.55,2.07,36.7,25.91,29.85,17.5,51.73,17.96
S4423(MAJOR//),0,0,0,0,5.82E-10,0,0,0,0,0,0,0,/sans_top25/cwe/privacy/owasp/,Change this code to use a stronger protocol.; /,0,0,0,0,0.02,0,0,0,0,0,0,0,0
BackticksUsage(BLOCKER//),0,0,0,0,3.42E-10,2.97E-09,0,0,0,7.89E-10,0,0,python3//,"Use ""repr"" instead.; /",0,0,0,0,0.01,0.07,0,0,0,0.01,0,0,0
S1700(MAJOR//),1.73E-09,1.31E-08,4.33E-10,8.76E-11,8.64E-09,1.80E-09,0,0,3.66E-09,0,1.88E-09,8.71E-10,/brain_overload/,"Rename field ""keyword""; /",0.04,0.22,0,0,0.27,0.04,0,0,0.09,0,0.05,0.01,0.025
S1862(MAJOR//),2.15E-10,0,0,3.56E-10,3.29E-09,0,0,2.62E-11,1.06E-09,0,1.45E-10,0,unused//pitfall/xxxxx/,This branch duplicates the one on line 617.; /This branch duplicates the one on line 104; /,0.01,0,0,0.01,0.1,0,0,0,0.03,0,0,0,0
S1516(MINOR//),1.59E-09,0,0,0,4.89E-10,6.14E-11,0,2.72E-09,8.10E-10,0,0,0,/bad_practice/,Multiline support is limited to browsers supporting ES5 only.; /,0.04,0,0,0,0.02,0,0,0.06,0.02,0,0,0,0
S3981(MAJOR//),0,0,0,1.38E-10,0,0,0,0,0,0,0,2.40E-10,/xxxxx/,"Fix this expression; length of ""will.payload"" is always greater or equal to zero.; /The length of a collection is always "">=0"", so update this test to either ""==0"" or "">0"".; /",0,0,0,0,0,0,0,0,0,0,0,0,0
S1716(CRITICAL//),0,0,0,0,2.90E-12,0,0,0,0,0,0,6.09E-10,/cwe/,"Remove this ""continue"" statement; /",0,0,0,0,0,0,0,0,0,0,0,0.01,0
S905(MAJOR//),1.21E-08,6.25E-08,5.46E-09,1.18E-08,7.26E-09,1.02E-10,6.23E-08,2.89E-09,4.17E-08,5.91E-08,0,0,/xxxxx/,Expected an assignment or function call and instead saw an expression.; /,0.29,1.04,0.01,0.34,0.23,0,2.41,0.07,1,1.02,0,0,0.26
S100(MINOR//),7.04E-08,9.26E-08,0,1.50E-07,3.37E-08,7.57E-08,1.13E-08,4.15E-08,1.29E-08,1.90E-07,9.75E-08,4.33E-07,/convention/,"Rename method ""_gen_G"" to match the regular expression ^[a-z_][a-z0-9_]{2,}$.; /",1.66,1.54,0,4.32,1.05,1.85,0.44,0.97,0.31,3.27,2.46,3.8,1.6
S1066(MAJOR//),5.76E-08,4.11E-08,1.06E-07,7.93E-08,6.48E-08,5.58E-08,4.27E-08,1.06E-08,7.59E-08,2.38E-08,4.13E-08,4.36E-08,/clumsy/,Merge this if statement with the enclosing one.; /,1.36,0.68,0.25,2.28,2.02,1.37,1.66,0.25,1.82,0.41,1.04,0.38,1.2
S4158(MINOR//),0,0,8.09E-10,7.78E-11,1.33E-12,0,0,0,0,0,0,0,/xxxxx/,"Review this usage of ""_itemsResultsClone"" as it can only be empty here.; /",0,0,0,0,0,0,0,0,0,0,0,0,0
TableHeaderHasIdOrScopeCheck(MAJOR//),2.36E-08,0,0,0,5.61E-08,1.50E-07,0,3.66E-08,1.58E-09,0,1.16E-09,7.21E-10,wcag2_a//accessibility/,Add either an 'id' or a 'scope' attribute to this <th> tag.; /,0.56,0,0,0,1.75,3.67,0,0.86,0.04,0,0.03,0.01,0.02
S1117(MAJOR//),4.43E-08,3.35E-08,2.79E-07,2.88E-07,6.40E-08,3.23E-09,3.60E-07,6.72E-08,2.45E-09,0,1.74E-09,0,confusing//pitfall/suspicious/,"Rename ""$tabs"" which has the same name as the field declared at line 3.; /'property' is already declared in the upper scope.; /",1.05,0.56,0.65,8.26,2,0.08,13.95,1.58,0.06,0,0.04,0,0.605
S1448(MAJOR//),0,0,0,0,1.71E-09,0,0,0,0,0,0,0,/brain_overload/,"Class ""User"" has 23 methods, which is greater than 20 authorized. Split it into smaller classes.; /",0,0,0,0,0.05,0,0,0,0,0,0,0,0
S131(CRITICAL//),0,0,0,0,5.55E-09,0,0,0,0,0,0,0,/cwe/,"Add a ""case default"" clause to this ""switch"" statement.; /",0,0,0,0,0.17,0,0,0,0,0,0,0,0
S1778(CRITICAL//),0,0,0,0,2.88E-12,0,0,0,0,0,0,0,/xxxxx/,"Remove all characters located before ""<?xml"".; /",0,0,0,0,0,0,0,0,0,0,0,0,0
S1172(MAJOR//),0,0,0,0,2.14E-10,0,0,0,0,0,0,0,unused//,"Remove the unused function parameter ""$adapter"".; /",0,0,0,0,0.01,0,0,0,0,0,0,0,0
S1472(MINOR//),0,0,0,0,3.24E-10,0,0,0,0,0,0,0,/suspicious/,Make those call arguments start on line 23; /,0,0,0,0,0.01,0,0,0,0,0,0,0,0
S4667(MAJOR//),0,0,6.65E-07,0,3.87E-11,1.70E-10,0,0,0,0,0,0,/xxxxx/,Unexpected empty source; /,0,0,1.56,0,0,0,0,0,0,0,0,0,0
S4647(BLOCKER//),0,0,0,0,2.66E-12,0,0,0,0,0,0,0,/xxxxx/,"Unexpected invalid hex color ""#white""; /",0,0,0,0,0,0,0,0,0,0,0,0,0
S4656(MAJOR//),5.17E-09,0,6.21E-06,5.23E-09,1.28E-09,1.73E-10,0,1.11E-10,1.05E-09,0,0,3.75E-08,/xxxxx/,"Unexpected duplicate ""text-decoration""; /",0.12,0,14.53,0.15,0.04,0,0,0,0.03,0,0,0.33,0.015
S1110(MAJOR//),8.79E-09,1.36E-08,8.09E-10,5.11E-09,1.91E-09,2.33E-09,0,4.54E-10,9.53E-09,0,0,1.31E-10,confusing//,Remove those useless parentheses.; /Remove these useless parentheses.; /,0.21,0.23,0,0.15,0.06,0.06,0,0.01,0.23,0,0,0,0.035
S1527(BLOCKER//),0,0,0,0,6.95E-11,0,0,0,0,0,0,0,/lock_in/pitfall/,"Rename ""package"" identifier to prevent potential conflicts with future evolutions of the JavaScript language.; /",0,0,0,0,0,0,0,0,0,0,0,0,0
S3782(MAJOR//),0,0,8.09E-10,7.78E-11,1.18E-10,0,0,0,0,0,0,0,confusing//,Change this argument to the documented type: String.; /,0,0,0,0,0,0,0,0,0,0,0,0,0
S836(MAJOR//),0,0,0,0,4.27E-10,0,0,0,0,0,0,0,/cwe/,Review the data-flow - use of uninitialized value.; /,0,0,0,0,0.01,0,0,0,0,0,0,0,0
S5603(MAJOR//),3.11E-09,6.95E-10,0,4.50E-09,5.85E-09,3.42E-10,0,1.55E-09,3.47E-09,3.77E-10,0,2.78E-09,unused//,Remove this unused function declaration.; /,0.07,0.01,0,0.13,0.18,0.01,0,0.04,0.08,0.01,0,0.02,0.015
S5632(BLOCKER//),6.15E-10,0,0,0,6.31E-10,2.11E-10,0,2.22E-10,1.02E-08,3.77E-10,0,1.61E-09,python3//,Change this code so that it raises an object deriving from BaseException.; /,0.01,0,0,0,0.02,0.01,0,0.01,0.24,0.01,0,0.01,0.01
S2189(BLOCKER//),0,0,0,0,2.14E-09,0,0,7.40E-10,0,0,0,0,/xxxxx/,Correct this loop's end condition as to not be invariant.; /,0,0,0,0,0.07,0,0,0.02,0,0,0,0,0
S138(MAJOR//),0,0,0,0,0,0,0,0,0,0,0,0,/brain_overload/,"This function ""isSafeFile"" has 158 lines, which is greater than the 150 lines authorized. Split it into smaller functions.; /",0,0,0,0,0,0,0,0,0,0,0,0,0
S1125(MINOR//),0,0,0,0,1.07E-09,0,0,0,0,0,0,0,/clumsy/,"Remove the literal ""FALSE"" boolean value.; /",0,0,0,0,0.03,0,0,0,0,0,0,0,0
LinkToImageCheck(MAJOR//),7.25E-10,0,0,0,7.11E-10,0,0,8.43E-10,0,0,0,0,user_experience//accessibility/,Change this link to not directly target an image.; /,0.02,0,0,0,0.02,0,0,0.02,0,0,0,0,0
S3358(MAJOR//),9.44E-09,0,2.02E-10,1.73E-09,2.61E-09,2.35E-10,0,1.53E-09,1.59E-09,0,0,0,confusing//,Extract this nested conditional expression into an independent statement.; /Extract this nested ternary operation into an independent statement.; /,0.22,0,0,0.05,0.08,0.01,0,0.04,0.04,0,0,0,0.005
S4660(MAJOR//),0,0,0,0,3.21E-11,0,0,0,2.83E-09,0,0,0,/xxxxx/,"Unexpected unknown pseudo-element selector ""::hover""; /",0,0,0,0,0,0,0,0,0.07,0,0,0,0
DuplicatedBlocks(MAJOR//),0,0,0,0,5.54E-08,0,0,0,0,0,0,0,/suspicious/design/,1 duplicated blocks of code must be removed.; /,0,0,0,0,1.73,0,0,0,0,0,0,0,0
S2115(BLOCKER//),0,0,0,0,5.52E-10,3.46E-10,0,0,0,0,0,0,/cwe/owasp/,Add password protection to this database.; /,0,0,0,0,0.02,0.01,0,0,0,0,0,0,0
S1788(MAJOR//),0,0,0,1.94E-10,0,0,0,0,0,0,0,0,psr2//es2015/,"Move parameter ""state"" after parameters without default value.; /Move arguments ""$path"" after arguments without default value; /",0,0,0,0.01,0,0,0,0,0,0,0,0,0
AvoidCommentedOutCodeCheck(MAJOR//),2.30E-09,1.79E-08,6.43E-06,2.52E-09,2.03E-08,3.40E-10,1.47E-10,3.12E-09,1.23E-08,0,2.90E-10,9.53E-10,unused//,Remove this commented out code.; /,0.05,0.3,15.06,0.07,0.63,0.01,0.01,0.07,0.29,0,0.01,0.01,0.06
S1068(MAJOR//),0,0,0,0,2.14E-10,0,0,0,0,0,0,0,unused//,"Remove this unused ""$allowed_types"" private field.; /",0,0,0,0,0.01,0,0,0,0,0,0,0,0
S5708(BLOCKER//),0,0,0,0,2.66E-11,0,0,0,0,0,0,1.52E-10,python3//,Change this expression to be a class deriving from BaseException or a tuple of such classes.; /,0,0,0,0,0,0,0,0,0,0,0,0,0
S1529(MAJOR//),0,0,0,0,3.02E-10,0,0,0,0,0,0,0,/xxxxx/,"Review this use of bitwise ""&"" operator; conditional ""&&"" might have been intended.; /",0,0,0,0,0.01,0,0,0,0,0,0,0,0
S5709(CRITICAL//),1.67E-09,0,0,0,2.37E-09,5.27E-10,0,0,0,0,0,0,/xxxxx/,"Derive this class from ""Exception"" instead of ""SystemExit"".; /",0.04,0,0,0,0.07,0.01,0,0,0,0,0,0,0
S2190(BLOCKER//),1.27E-10,3.47E-10,0,0,1.02E-11,0,6.57E-09,0,4.86E-10,0,0,8.01E-10,/suspicious/,Add a way to break out of this method's recursion.; /,0,0.01,0,0,0,0,0.25,0,0.01,0,0,0.01,0
S1045(MAJOR//),0,0,0,0,0,0,0,0,2.25E-10,0,0,1.52E-10,/error_handling/,Catch this exception only once; it is already handled by a previous except clause.; /,0,0,0,0,0,0,0,0,0.01,0,0,0,0
S5712(CRITICAL//),0,0,0,7.10E-10,2.27E-11,0,0,1.29E-09,2.19E-09,0,0,1.28E-09,/bad_practice/error_handling/,"Return ""NotImplemented"" instead of raising ""NotImplementedError""; /",0,0,0,0.02,0,0,0,0.03,0.05,0,0,0.01,0
S3531(MAJOR//),0,0,0,0,0,0,0,2.71E-09,0,0,0,0,api_design//es2015/,"Add a ""yield"" statement to this generator.; /",0,0,0,0,0,0,0,0.06,0,0,0,0,0
S2159(BLOCKER//),0,0,0,0,7.79E-12,0,0,0,7.32E-10,0,0,0,unused//,Remove this equality check between incompatible types; it will always return False.; /,0,0,0,0,0,0,0,0,0.02,0,0,0,0
S5747(CRITICAL//),0,0,0,1.32E-08,9.23E-10,9.05E-09,1.32E-09,3.24E-08,0,0,0,9.35E-09,confusing/unpredictable/error_handling//,"Remove this ""raise"" statement or move it inside an ""except"" block.; /",0,0,0,0.38,0.03,0.22,0.05,0.76,0,0,0,0.08,0.015
S4426(BLOCKER//),0,0,0,0,7.56E-11,4.61E-10,0,0,0,0,0,0,/owasp/cwe/privacy/,Use a key length of at least 2048 bits.; /,0,0,0,0,0,0.01,0,0,0,0,0,0,0
MetaRefreshCheck(MAJOR//),0,0,0,0,0,0,0,4.77E-10,0,0,0,1.91E-09,user_experience//,Remove this meta refresh tag.; /,0,0,0,0,0,0,0,0.01,0,0,0,0.02,0
S4140(MAJOR//),0,0,0,3.11E-10,3.99E-12,0,0,0,0,0,0,0,/xxxxx/,Unexpected comma in middle of array.; /,0,0,0,0.01,0,0,0,0,0,0,0,0,0
S5148(BLOCKER//),0,0,8.87E-06,1.66E-09,1.32E-08,0,0,0,0,0,0,0,/pishing/,"Add rel=""noopener noreferrer"" to this link to prevent the original page from being modified by the opened link.; /",0,0,20.77,0.05,0.41,0,0,0,0,0,0,0,0
S1116(MINOR//),6.75E-10,3.12E-10,2.43E-09,4.94E-09,1.85E-08,4.04E-10,0,2.46E-08,0,0,0,0,unused//,Remove this empty statement.; /Unnecessary semicolon.; /Unexpected extra semicolon; /,0.02,0.01,0.01,0.14,0.58,0.01,0,0.58,0,0,0,0,0.01
S1854(MAJOR//),2.89E-08,4.00E-08,7.73E-08,4.49E-08,4.49E-08,4.12E-08,2.92E-08,1.11E-08,7.33E-08,2.68E-08,7.39E-09,1.77E-08,unused//cwe/,"Remove this useless assignment to local variable '$file'.; /Remove this useless assignment to variable ""origword"".; /Remove this assignment to local variable 'sketch'; the value is never used.; /",0.68,0.67,0.18,1.29,1.4,1.01,1.13,0.26,1.75,0.46,0.19,0.15,0.675
S1143(CRITICAL//),1.09E-09,0,8.09E-09,0,3.49E-10,0,0,1.41E-10,0,0,0,1.37E-09,/error_handling/cwe/,"Remove this ""return"" statement from this ""finally"" block.; /Unsafe usage of ThrowStatement.; /",0.03,0,0.02,0,0.01,0,0,0,0,0,0,0.01,0
S1479(MAJOR//),0,0,0,5.83E-10,4.26E-11,0,0,0,0,0,0,0,/brain_overload/,Reduce the number of switch cases from 33 to at most 30.; /Reduce the number of non-empty switch cases from 46 to at most 30.; /,0,0,0,0.02,0,0,0,0,0,0,0,0,0
S5255(MAJOR//),1.92E-08,4.46E-08,2.66E-06,1.01E-08,5.98E-10,0,8.77E-09,8.58E-09,0,0,0,0,wcag2_a//accessibility/,"Add an ""aria-label"" or ""aria-labbelledby"" attribute to this element.; /",0.45,0.74,6.23,0.29,0.02,0,0.34,0.2,0,0,0,0,0.11
S1871(MAJOR//),2.97E-09,1.39E-08,1.21E-09,9.77E-09,2.64E-08,4.54E-09,8.77E-09,1.15E-08,1.02E-08,2.08E-09,1.45E-10,3.48E-10,/suspicious/design/,"This branch's code block is the same as the block for the branch on line 499.; /Either merge this branch with the identical one on line ""524"" or change one of the implementations.; /This branch's code block is the same as the block for the branch on line 217.; /",0.07,0.23,0,0.28,0.82,0.11,0.34,0.27,0.25,0.04,0,0,0.17
S107(MAJOR//),1.17E-07,4.54E-08,7.80E-08,5.15E-08,3.91E-08,5.58E-08,2.96E-08,3.51E-08,1.00E-07,1.17E-07,1.27E-08,1.19E-07,/brain_overload/,"This function has 8 parameters, which is greater than the 7 authorized.; /Method ""__init__"" has 20 parameters, which is greater than the 7 authorized.; /",2.77,0.76,0.18,1.48,1.22,1.37,1.15,0.82,2.4,2,0.32,1.04,1.185
